pred,actual,gated,active
0.005773608,0.011973457,0.005773608,1
0.005337953,0.018458894,0.005337953,1
0.0051949313,-0.0036791207,0.0051949313,1
0.0054011503,-0.009343685,0.0054011503,1
0.0056067896,-0.035264667,0.0056067896,1
0.005753007,-0.033352654,0.005753007,1
0.005788599,-0.021425743,0.005788599,1
0.005771358,0.0072745304,0.005771358,1
0.005567203,0.009471858,0.005567203,1
0.005438962,0.021829985,0.005438962,1
0.006589764,0.017967278,0.006589764,1
0.00647773,0.01857459,0.00647773,1
0.005822566,0.035484705,0.0,0
0.004757918,0.030919652,0.0,0
0.0049023055,0.03178968,0.0,0
0.0026801878,0.03966265,0.0,0
-0.00067085336,0.03361337,0.0,0
-0.0031339324,0.0203801,0.0,0
-0.003792468,0.017379828,0.0,0
-0.0046814,-0.00034858251,0.0,0
-0.006439098,-0.00187798,0.0,0
-0.007592738,-0.0040894873,0.0,0
-0.006339709,-0.0057430626,0.0,0
-0.0037952554,-0.012333558,0.0,0
-0.004582332,0.009008256,0.0,0
-0.0059790723,0.00013181323,0.0,0
-0.007708144,0.0020962916,0.0,0
-0.0069173435,0.00723088,0.0,0
-0.004209248,0.012267152,0.0,0
-0.0004771918,0.022522092,0.0,0
0.0013704973,0.017600551,0.0,0
0.0016029368,0.009245273,0.0,0
0.0016590924,-0.011578719,0.0,0
0.0018522143,-0.0070926487,0.0,0
0.002223645,-0.018328696,0.0,0
0.0025270928,-0.018528456,0.0,0
0.0032171889,-0.031460892,0.0,0
0.0035179208,-0.026258051,0.0,0
0.0038347277,-0.043323908,0.0,0
0.0037103521,-0.057333484,0.0,0
0.0030447433,-0.049074326,0.0,0
0.0024812948,-0.061953213,0.0,0
0.0019458669,-0.040399875,0.0,0
0.0015264846,-0.06162035,0.0,0
0.001206114,-0.06434325,0.0,0
0.0011398765,-0.0598987,0.0,0
0.0017177656,-0.058013435,0.0,0
0.0018323984,-0.052995224,0.0,0
0.0013086714,-0.029847598,0.0,0
0.0007393211,-0.02829448,0.0,0
0.00028793936,-0.028641185,0.0,0
0.0006800596,-0.013179335,0.0,0
0.0012218968,-0.017787967,0.0,0
0.0010421207,0.027252318,0.0,0
0.0011723486,0.036715273,0.0,0
0.0022086129,0.020163305,0.0,0
0.004035244,0.031112816,0.0,0
0.006109265,-0.0102856215,0.0,0
0.0071718567,-0.011148666,0.0,0
0.008855028,0.0032788569,0.0,0
0.010532856,-0.00076116354,0.0,0
0.011841031,-0.04703784,0.0,0
0.012790631,-0.10471525,0.012790631,1
0.013462287,-0.12229065,0.013462287,1
0.013374415,-0.13742912,0.013374415,1
0.012990849,-0.04469386,0.012990849,1
0.013751342,-0.07469472,0.013751342,1
0.014041679,-0.038986277,0.014041679,1
0.012970043,-0.036686637,0.012970043,1
0.01184151,-0.041973554,0.01184151,1
0.009748951,-0.06970059,0.009748951,1
0.008227291,-0.021091336,0.008227291,1
0.0070002154,0.016578399,0.0070002154,1
0.0063886237,0.044547334,0.0,0
0.0038687799,0.078889824,0.0,0
0.0036365013,0.005107317,0.0,0
0.004507463,0.048815057,0.0,0
0.005540632,0.03083704,0.0,0
0.0060094157,0.028646082,0.0,0
0.005666404,0.031951454,0.0,0
0.005349909,0.062255234,0.0,0
0.007275152,0.07647031,0.0,0
0.022047656,0.09541695,0.022047656,1
0.03003476,0.060356446,0.03003476,1
0.032777157,0.047512386,0.032777157,1
0.033206064,0.032666806,0.033206064,1
0.033509113,0.024379201,0.033509113,1
0.03204419,0.05705448,0.03204419,1
0.030591741,0.05857394,0.030591741,1
0.028704086,0.058092393,0.028704086,1
0.028130626,0.055814102,0.028130626,1
0.026725799,0.047780152,0.026725799,1
0.025730621,0.05543348,0.025730621,1
0.023889933,0.059489056,0.023889933,1
0.021643894,0.03788305,0.021643894,1
0.019898016,0.031439215,0.019898016,1
0.01856691,0.02524946,0.01856691,1
0.016225846,0.013235384,0.016225846,1
0.013719616,0.00033975753,0.013719616,1
0.012625276,0.0033244935,0.012625276,1
0.012968346,-0.00088563433,0.012968346,1
0.011258572,-0.0037661146,0.011258572,1
0.011421956,0.0011352237,0.011421956,1
0.012265736,0.0051090484,0.012265736,1
0.010667125,0.016201243,0.010667125,1
0.009920997,0.027105415,0.009920997,1
0.009538604,0.034993343,0.009538604,1
0.008449397,0.019803973,0.0,0
0.009387279,0.022703456,0.009387279,1
0.010972524,0.022511167,0.010972524,1
0.010091104,0.0110425735,0.0,0
0.007802493,0.016369762,0.0,0
0.0073382324,0.0020685648,0.0,0
0.007826499,0.0016848732,0.0,0
0.00897783,0.004805287,0.00897783,1
0.009517754,0.0041347616,0.009517754,1
0.0092350785,0.0143693,0.0092350785,1
0.008941625,0.008834538,0.008941625,1
0.009136429,0.019723522,0.009136429,1
0.009203683,0.021142194,0.009203683,1
0.009264291,0.03814307,0.009264291,1
0.0083893435,0.027332488,0.0083893435,1
0.0067893234,0.040901076,0.0,0
0.0058245794,0.049905777,0.0,0
0.0056994935,0.043925464,0.0,0
0.0061307396,0.03325219,0.0061307396,1
0.0064109424,0.028081834,0.0064109424,1
0.006667126,0.030908545,0.006667126,1
0.006550194,0.01933392,0.006550194,1
0.006198029,0.0154688405,0.006198029,1
0.0059985644,0.0062546143,0.0,0
0.0058063385,0.0105986325,0.0,0
0.006325303,0.011230966,0.006325303,1
0.0077470844,0.002777348,0.0077470844,1
0.009303118,0.012138099,0.009303118,1
0.00953305,0.013508927,0.00953305,1
0.009147539,0.015271662,0.009147539,1
0.008661733,0.013198099,0.008661733,1
0.00868771,0.020590302,0.00868771,1
0.009401662,0.019336173,0.009401662,1
0.010312502,0.02035634,0.010312502,1
0.0112686325,0.015837237,0.0112686325,1
0.011279157,0.006674269,0.011279157,1
0.010686274,-0.009334958,0.010686274,1
0.010738542,0.0038600361,0.010738542,1
0.0063607567,-0.001653059,0.0,0
0.006990377,-0.002178062,0.006990377,1
0.006922719,-0.0036694666,0.006922719,1
0.007277453,0.00012679666,0.007277453,1
0.0074411253,-0.002554055,0.0074411253,1
0.007123518,0.01175664,0.007123518,1
0.0068626283,0.016294485,0.0068626283,1
0.0066437274,0.020372609,0.0066437274,1
0.00625879,0.03395154,0.00625879,1
0.006000751,0.018832715,0.006000751,1
0.0058960435,0.017808666,0.0058960435,1
0.006019838,0.007993577,0.006019838,1
0.006058176,0.0047586625,0.006058176,1
0.006007315,0.012123102,0.006007315,1
0.0056996034,0.010335003,0.0056996034,1
0.00570746,0.0031307675,0.00570746,1
0.0055780215,0.002291756,0.0055780215,1
0.0056078685,0.005151058,0.0056078685,1
0.0058108806,0.0016217496,0.0,0
0.006059751,-0.0052115177,0.006059751,1
0.0064337268,0.0057537854,0.0064337268,1
0.0069801887,0.01662038,0.0069801887,1
0.007617821,0.017476782,0.007617821,1
0.008244042,0.0043668067,0.008244042,1
0.008697939,0.011381643,0.008697939,1
0.009434631,0.010222813,0.009434631,1
0.010068459,0.01636534,0.010068459,1
0.010562651,0.012677938,0.010562651,1
0.010768503,0.023995942,0.010768503,1
0.010496393,0.02980571,0.010496393,1
0.010380815,0.02358626,0.010380815,1
0.010087306,0.019975128,0.010087306,1
0.010161473,0.028212585,0.010161473,1
0.010146002,0.030576678,0.010146002,1
0.010139668,0.022158561,0.010139668,1
0.010089865,0.016217012,0.010089865,1
0.010019426,0.0026186076,0.010019426,1
0.010138296,0.009023016,0.010138296,1
0.010324382,0.006943044,0.010324382,1
0.010353946,0.012366152,0.010353946,1
0.010410334,0.01679458,0.010410334,1
0.010378221,0.012573981,0.010378221,1
0.010222434,0.0077171964,0.010222434,1
0.009675208,0.0069512282,0.009675208,1
0.0091054635,0.008663154,0.0091054635,1
0.008435468,0.017437559,0.008435468,1
0.0077785654,0.01974189,0.0077785654,1
0.0072610364,-0.01372585,0.0072610364,1
0.0067931744,-0.000974259,0.0067931744,1
0.0062374966,-0.0066009066,0.0062374966,1
0.0058241594,-0.0059810667,0.0058241594,1
0.0055456483,-0.012848216,0.0055456483,1
0.00549267,-0.007710228,0.00549267,1
0.0054180804,-0.0007640488,0.0054180804,1
0.005400869,0.0030918126,0.005400869,1
0.005444838,-0.008043021,0.005444838,1
0.0055970466,0.0004944358,0.0055970466,1
0.005851477,0.03650207,0.005851477,1
0.0061257514,0.033125352,0.0061257514,1
0.006237024,0.037111465,0.006237024,1
0.006280354,0.03290778,0.006280354,1
0.0062780753,0.029154923,0.0062780753,1
0.006362338,0.026439102,0.006362338,1
0.006383116,0.017347896,0.006383116,1
0.006377621,0.0053745843,0.006377621,1
0.006256757,0.01446251,0.006256757,1
0.0061526103,-0.002689067,0.0061526103,1
0.007415242,-0.009259867,0.007415242,1
0.0086875195,-0.006215125,0.0086875195,1
0.010145798,-0.006425914,0.010145798,1
0.011246733,-0.0057571153,0.011246733,1
0.01207122,-0.012437026,0.01207122,1
0.011968811,-0.015509828,0.011968811,1
0.011316939,-0.026205609,0.011316939,1
0.0102691185,-0.022776172,0.0102691185,1
0.00892087,-0.022678532,0.00892087,1
0.007924325,-0.027016582,0.007924325,1
0.007683045,-0.018697178,0.007683045,1
0.007412956,-0.018633204,0.007412956,1
0.007238753,-0.011791236,0.007238753,1
0.0069800145,-0.0055919583,0.0069800145,1
0.006782494,0.016563972,0.006782494,1
0.0067942753,0.011660044,0.0067942753,1
0.006889545,0.023523727,0.006889545,1
0.007055043,0.035120018,0.007055043,1
0.00731484,0.03236296,0.00731484,1
0.007330538,0.05071912,0.007330538,1
0.0075821555,0.036880188,0.0075821555,1
0.008131952,0.020191979,0.008131952,1
0.008309703,0.017854337,0.008309703,1
0.008126311,0.0129744895,0.008126311,1
0.008287082,-0.003165338,0.008287082,1
0.009067838,0.00056951295,0.009067838,1
0.010218929,-0.0042625233,0.010218929,1
0.011161639,-0.018729236,0.011161639,1
0.011657306,-0.012010925,0.011657306,1
0.0120105725,-0.0052253003,0.0120105725,1
0.012101905,0.0046710614,0.012101905,1
0.011772921,0.01012794,0.011772921,1
0.0117917955,0.006588026,0.0117917955,1
0.010791178,0.0041935868,0.010791178,1
0.0068763043,0.011472883,0.0,0
0.004524577,0.01169667,0.0,0
